movieId,tmdbId,original_title,description
21,8012.0,Get Shorty,Chili Palmer is a Miami mobster who gets sent by his boss the psychopathic Bones Barboni to collect a bad debt from Harry Zimm a Hollywood producer who specializes in cheesy horror films  When Chili meets Harrys leading lady the romantic sparks fly  After pitching his own life story as a movie idea Chili learns that being a mobster and being a Hollywood producer really arent all that different  The mob is tough but it’s nothing like show business  Comedy Crime Thriller en
22,1710.0,Copycat,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past  One man is copying the most notorious killers in history one at a time  Together two women must stop him from killing again  Or theyre next  Crime Drama Horror Mystery Thriller en
23,9691.0,Assassins,Assassin Robert Rath arrives at a funeral to kill a prominent mobster only to witness a rival hired gun complete the job for him  with grisly results  Horrified by the murder of innocent bystanders Rath decides to take one last job and then return to civilian life  But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself  In the shadows of life In the business of death One man found a reason to live    Action Crime Thriller en
24,12665.0,Powder,Harassed by classmates who wont accept his shocking appearance a shy young man known as Powder struggles to fit in  But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things  This phenomenon changes the lives of all those around him in ways they never could have imagined  An extraordinary encounter with another human being  Drama SciFi en
25,451.0,Leaving Las Vegas,Ben Sanderson an alcoholic Hollywood screenwriter who lost everything because of his drinking arrives in Las Vegas to drink himself to death  There he meets and forms an uneasy friendship and noninterference pact with prostitute Sera  I Love You    The Way You Are  Drama Romance en
26,16420.0,Othello,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic  Envy greed jealousy and love  Drama en
27,9263.0,Now and Then,Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender comingofage tale four childhood girlfriends  Teeny Chrissy Samantha and Roberta  recall the magical summer of 1970  During their walk down memory lane they reconcile experiences with boys secrets bullies and more  In every woman there is the girl she left behind  Children Drama en
28,17015.0,Persuasion,This film adaptation of Jane Austens last novel follows Anne Elliot the daughter of a financially troubled aristocratic family who is persuaded to break her engagement to Frederick Wentworth a young sea captain of meager means  Years later money troubles force Annes father to rent out the family estate to Admiral Croft and Anne is again thrown into company with Frederick  who is now rich successful and perhaps still in love with Anne   Drama Romance en
29,902.0,La Cité des Enfants Perdus,A scientist in a surrealist society kidnaps children to steal their dreams hoping that they slow his aging process  Where happily ever after is just a dream  Adventure Drama Fantasy Mystery SciFi fr
30,37557.0,摇啊摇，摇到外婆桥,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglords mistress  In 1930s Shanghai violence was not the problem  It was the solution  Crime Drama zh
31,9909.0,Dangerous Minds,Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious innercity high school  After having a terrible first day she decides she must throw decorum to the wind  When Johnson returns to the classroom she does so armed with a nononsense attitude informed by her military training and a fearless determination to better the lives of her students  no matter what the cost  She broke the rules    and changed their lives  Drama en
32,63.0,Twelve Monkeys,In the year 2035 convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earths population and forced the survivors into underground communities  But when Cole is mistakenly sent to 1990 instead of 1996 hes arrested and locked up in a mental hospital  There he meets psychiatrist Dr  Kathryn Railly and patient Jeffrey Goines the son of a famous virus expert who may hold the key to the mysterious rogue group the Army of the 12 Monkeys thought to be responsible for unleashing the killer disease  The future is history  Mystery SciFi Thriller en
34,9598.0,Babe,Babe is a little pig who doesnt quite know his place in the world  With a bunch of odd friends like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom Babe realizes that he has the makings to become the greatest sheep pig of all time and Farmer Hogget knows it  With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be  A little pig goes a long way  Children Drama en
36,687.0,Dead Man Walking,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution  Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean   Crime Drama en
38,33689.0,It Takes Two,Identical 9yearolds from very different backgrounds orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places  and play matchmaker between Alyssas dad Roger and the kind social worker who cares for Amanda  Two identical strangers  Two different worlds  One perfect match  Children Comedy en
39,9603.0,Clueless,Shallow rich and socially successful Cher is at the top of her Beverly Hills high schools pecking scale  Seeing herself as a matchmaker Cher first coaxes two teachers into dating each other  Emboldened by her success she decides to give hopelessly klutzy new student Tai a makeover  When Tai becomes more popular than she is Cher realizes that her disapproving exstepbrother was right about how misguided she was  and falls for him  Sex  Clothes  Popularity  Is there a problem here Comedy Romance en
40,34615.0,"Cry, the Beloved Country",A SouthAfrican preacher goes to search for his wayward son who has committed a crime in the big city   Drama en
41,31174.0,Richard III,Shakespeares Play transplanted into a 1930s setting  I can smile and murder while I smile Drama War en
42,11443.0,Dead Presidents,Depicts a heist of old bills retired from circulation and destined by the government to be money to burn  However more broadly it addresses the issues of Black Americans involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States during the 1960s  In this daring heist the only color that counts is green Action Crime Drama en
43,35196.0,Restoration,An aspiring young physician Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King  Merivel joins the Kings court and lives the high life provided to someone of his position  Merivel is ordered to marry his Kings mistress in order to divert the queens suspicions  He is given one order by the king and that is not to fall in love  The situation worsens when Merivel finds himself in love with his new wife  Eventually the King finds out and relieves Merivel of his position and wealth  His fall from grace leaves Merivel where he first started  And through his travels and reunions with an old friend he rediscovers his love for true medicine and what it really means to be a physician   Drama en
44,9312.0,Mortal Kombat,For nine generations an evil sorcerer has been victorious in handtohand battle against his mortal enemies  If he wins a tenth Mortal Kombat tournament desolation and evil will reign over the multiverse forever  To save Earth three warriors must overcome seemingly insurmountable odds their own inner demons and superhuman foes in this actionadventure movie based on one of the most popular video games of all time  Nothing In This World Has Prepared You For This  Action Adventure Fantasy en
45,577.0,To Die For,Susan wants to work in television and will therefore do anything it takes even if it means killing her husband  A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role  All she wanted was a little attention  Comedy Drama Thriller en
46,11861.0,How To Make An American Quilt,Soontobewed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her  In order to clear her head Finn visits her grandmother Hy and great aunt Glady Joe Cleary in Grasse Calif  There Finn learns that Hy and Glady Joe are members of a group of passionate quilters and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom  Theres beauty in the patterns of life  Drama Romance en
47,807.0,Se7en,Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the seven deadly sins in this dark and haunting film that takes viewers from the tortured remains of one victim to the next  The seasoned Det  Sommerset researches each sin in an effort to get inside the killers mind while his novice partner Mills scoffs at his efforts to unravel the case  Seven deadly sins  Seven ways to die  Mystery Thriller en
48,10530.0,Pocahontas,History comes gloriously to life in Disneys epic animated tale about love and adventure in the New World  Pocahontas is a Native American woman whose father has arranged for her to marry her villages best warrior  But a vision tells her change is coming and soon she comes face to face with it in the form of Capt  John Smith  An American legend comes to life  Animation Children Drama Musical Romance en
49,8391.0,When Night Is Falling,A prudish woman working on tenure as a literacy professor at a large urban university finds herself strangely attracted to a freespirited liberal woman whom works at a local carnival which comes to town   Drama Romance en
50,629.0,The Usual Suspects,Held in an L A  interrogation room Verbal Kint attempts to convince the feds that a mythic crime lord Keyser Soze not only exists but was also responsible for drawing him and his four partners into a multimillion dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors  Verbal lures his interrogators with an incredible story of the crime lords almost supernatural prowess  Five Criminals  One Line Up  No Coincidence  Crime Mystery Thriller en
52,11448.0,Mighty Aphrodite,When Lenny and his wife Amanda adopt a baby Lenny realizes that his son is a genius and becomes obsessed with finding the boys biological mother in hopes that she will be brilliant too  But when he learns that Maxs mother is Linda Ash a kindhearted prostitute and porn star Lenny is determined to reform her immoral lifestyle  A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy   Comedy Drama Romance en
53,49133.0,Lamerica,Fiore an Italian conman arrives in post Communist Albania with Gino his young apprentice to set up a shoe factory that will never open  The con requires a native Albanian so they designate Spiro an impoverished and confused former political prisoner as chairman of the board  When Fiore returns to Italy to get government funds for the project Spiro unexpectedly disappears and Gino sets out on a journey to find him  The search leads him to discover Spiros tragic personal history and witness Albanian poverty firsthand   Adventure Drama it
54,26441.0,The Big Green,In a depressed Texas town British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer  Theyre terrible at first but Anna and her footballhero assistant whip them into shape  As they work overtime the pair help kids build their selfesteem and also get involved in solving family squabbles  The biggest kick of the year Children Comedy en
55,97406.0,Georgia,Sadie looks up to her older sister Georgia a successful folk singer whos happily married with children but cant break out of the barband circuit and hit the big time she desperately covets  Its in part due to her attraction to drugs and booze and also to her own unwise choice in men  Finally though Sadies Achilles heel is a rough unlovely voice very different than her sisters crowdpleasing singing  The toughest act to follow was their dreams  Drama en
57,9089.0,Home for the Holidays,After losing her job making out with her soon to be exboss and finding out that her daughter plans to spend Thanksgiving with her boyfriend Claudia Larson has to face spending the holiday with her family  She wonders if she can survive their crazy antics  Well do it every year  until we get it right Drama en
58,11010.0,Il postino,Simple Italian postman learns to love poetry while delivering mail to a famous poet he uses this to woo local beauty Beatrice   Comedy Drama Romance it
60,11359.0,The Indian in the Cupboard,A nineyearold boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him   Adventure Children Fantasy en
61,17182.0,Eye for an Eye,Its fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob the monster who raped and murdered her 17yearold daughter  What do you do when justice fails Drama Thriller en
62,2054.0,Mr. Holland's Opus,In 1965 passionate musician Glenn Holland takes a day job as a high school music teacher convinced its just a small obstacle on the road to his true calling writing a historic opus  As the decades roll by with the composition unwritten but generations of students inspired through his teaching Holland must redefine his lifes purpose  Of All the Lives He Changed the One That Changed the Most Was His Own  Drama en
63,10607.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,When Ashtray Shawn Wayans moves to South Central L A  to live with his father who appears to be the same age he is and grandmother who likes to talk tough and smoke reefer he falls in with his gangbanging cousin Loc Dog Marlon Wayans who along with the requisite pistols and Uzi carries a thermonuclear warhead for selfdefense  Will Ashtray be able to keep living the straight life Finally the movie that proves that Justice isnt always Poetic Jungle Fever isnt always pretty and Higher Learning can be a waste of time  Comedy Crime en
64,19760.0,Two If by Sea,Frank OBrien a petty thief and his 7yearlong girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job which involves stealing a valuable painting  Frank takes Roz to an island on the coast of New England where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up  Not everything goes as planned  A new comedy about love laughter and larceny Comedy Romance en
65,9536.0,Bio-Dome,Bud and Doyle are two losers who are doing nothing with their lives  Both of their girlfriends are actively involved in saving the environment but the two friends couldnt care less about saving the Earth  One day when a group of scientists begin a mission to live inside a BioDome for a year without outside contact Bud and Doyle mistakenly become part of the project themselves  Bud and Doyle are here to save the world  But whos gonna save the world from Bud and Doyle Comedy en
66,11525.0,Lawnmower Man 2: Beyond Cyberspace,Jobe is resuscitated by Jonathan Walker  He wants Jobe to create a special computer chip that would connect all the computers in the world into one network which Walker would control and use  But what Walker doesnt realize is a group of teenage hackers are on to him and out to stop his plan  God made him simple  Science made him a god  Now he wants revenge  Action SciFi Thriller en
68,4482.0,Gazon maudit,After learning of her husbands infidelities a housewife invites an itinerant lesbian to move in with them  None of their lives will ever be the same again   Comedy Romance fr
69,10634.0,Friday,Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon smoking and drinking looking for something to do  A lot can go down between thursday and saturday    Comedy en
70,755.0,From Dusk Till Dawn,Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas  They escape across the border into Mexico and will be homefree the next morning when they pay off the local kingpin  They just have to survive from dusk till dawn at the rendezvous point which turns out to be a Hell of a strip joint  One night is all that stands between them and freedom  But its going to be a hell of a night  Action Comedy Horror Thriller en
71,11859.0,Fair Game,Max Kirkpatrick is a cop who protects Kate McQuean a civil law attorney from a renegade KGB team out to terminate her Hes a cop on the edge  Shes a woman with a dangerous secret  And now theyre both    Action en
72,28387.0,Kicking and Screaming,After college graduation Grovers girlfriend Jane tells him shes moving to Prague to study writing  Grover declines to accompany her deciding instead to move in with several friends all of whom cant quite work up the inertia to escape their universitys pull  Nobody wants to make any big decisions that would radically alter his life yet none of them wants to end up like Chet the professional student who tends bar and is in his tenth year of university studies  Anxiety loves company  Comedy Drama en
73,48750.0,Les misérables,In France during World War II a poor and illiterate man Henri Fortin JeanPaul Belmondo is introduced to Victor Hugos classic novel Les Misérables and begins to see parallels between the book and his own life  In a time of chaos in a world of change he was moved by a book he could not read to become a hero he never imagined  Drama War fr
74,20927.0,Bed of Roses,The seeds of love are planted when Lisa a highpowered investment banker receives flowers from a secret admirer  But when his fairytale fantasies clash with her workaholic ways they soon find out that sometimes its harder than it seems for love to conquer all  He gave her flowers  She gave him a chance  Drama Romance en
75,36929.0,Big Bully,A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined only the bully wants to relive their painful past by torturing him once again  A comedy for the kid in all of us  Comedy Drama en
76,9102.0,Screamers,SIRIUS 6B Year 2078 On a distant mining planet ravaged by a decade of war scientists have created the perfect weapon a bladewielding selfreplicating race of killing devices known as Screamers designed for one purpose only  to hunt down and destroy all enemy life forms  The last scream you hear will be your own  Action SciFi Thriller en
77,124626.0,Nico Icon,A look into the many lives of Christa Päffgen otherwise known as Nico from cutie German mädchen to the first of the supermodels to glamorous diva of the Velvet Underground to cult item junkie and hag  Many faces for the same woman whom you realize just couldnt bring herself to care enough to live   Documentary en
78,27526.0,The Crossing Guard,After his daughter died in a hit and run Freddy Gale has waited six years for John Booth the man responsible to be released from prison  On the day of release Gale visits Booth and announces that he will kill him in one week  Booth uses his time to try and make peace with himself and his entourage and even finds romance  Gale whose life is spiraling down because of his obsession towards Booth will bring himself on the very edge of sanity  At he end of the week both men will find themselves on a collision course with each other     some lives cross others collide  Action Crime Drama Thriller en
79,9623.0,The Juror,With his gangster boss on trial for murder a mob thug known as the Teacher tells Annie Laird she must talk her fellow jurors into a notguilty verdict implying that hell kill her son Oliver if she fails  She manages to do this but when it becomes clear that the mobsters might want to silence her for good she sends Oliver abroad and tries to gather evidence of the plot against her setting up a final showdown  There is no defense  Drama Thriller en
80,46785.0,بادکنک سفید,Several people try to take advantage of a little girls innocence to hustle money her mom gave to her to buy a goldfish with   Children Drama fa
81,400.0,Things to Do in Denver When You're Dead,A mafia film in Tarantino style with a starstudded cast  Jimmy’s “The Saint” gangster career has finally ended  Yet now he finds him self doing favors for a wise godfather known as “The Man with the Plan ” Protect  Love  Honor  Avenge  Crime Drama Romance en
82,880.0,Antonia,After World War II Antonia and her daughter Danielle go back to their Dutch hometown where Antonias late mother has bestowed a small farm upon her  There Antonia settles down and joins a tightlyknit but unusual community  Those around her include quirky friend Crooked Finger wouldbe suitor Bas and eventually for Antonia a granddaughter and greatgranddaughter who help create a strong family of empowered women  A motion picture that celebrates everything you love about life  Comedy Drama nl
83,146599.0,Once Upon a Time... When We Were Colored,This film relates the story of a tightly connected AfroAmerican community informally called Colored Town where the inhabitants live and depend on each other in a world where racist oppression is everywhere as told by a boy called Cliff who spent his childhood there  Despite this we see the life of the community in all its joys and sorrows of those that live there while others decide to leave for a better life north  For those remaining things come to a serious situation when one prominent businessman is being muscled out by a white competitor using racist intimidation  In response the community must make the decision of whether to submit meekly like they always have or finally fight for their rights   Drama Romance en
85,8447.0,Angels and Insects,In Victorian England wealthy patriarch Sir Harald Alabaster invites an impoverished biologist William Adamson into his home  There William tries to continue his work but is distracted by Alabasters seductive daughter Eugenia  William and Eugenia begin a torrid romance but as the couple become closer the young scientist begins to realize that dark disturbing things are happening behind the closed doors of the Alabaster manor  An elegant seduction  An erotic deception  A stunning revelation  Drama Romance en
86,10534.0,White Squall,Teenage boys discover discipline and camaraderie on an illfated sailing voyage   Action Adventure Drama en
87,17414.0,Dunston Checks In,Hotel manager Robert Grant is forced by his boss to postpone his family vacation when a hotel critic checks in  Trouble is the critic is really a villainous jewel thief with an orangutan assistant named Dunston  When Dunston gets loose and tries to escape a life of crime  aided by Roberts sons  havoc hijinks and lots of laughs abound Hes about to turn a Five Star Hotel into a three ring circus  Children Comedy en
88,13997.0,Black Sheep,When dignified Albert Donnelly runs for Governor his team moves to keep his slowwitted and klutzy younger brother Mike out of the eye of the media  To babysit Mike the campaign assigns sarcastic Steve who gets the experience of a lifetime when he tries to take Mike out of town during the election  Theres one in every family  Comedy en
89,2086.0,Nick of Time,Gene Watson is a public accountant who arrives on a train at Union Station in Los Angeles accompanied by his 6yearold daughter Lynn  Because of his ordinary looks he is approached by a pair of sinister people named Smith and Jones   Action Thriller en
92,9095.0,Mary Reilly,A housemaid falls in love with Dr  Jekyll and his darkly mysterious counterpart Mr  Hyde  The untold story of Jekyll and Hyde Drama Horror Thriller en
93,12158.0,Vampire in Brooklyn,Maximillian the lone survivor of a race of vampires comes to Brooklyn in search of a way to live past the next full moon  His ticket to survival is Rita a NYPD detective who doesnt know shes half vampire  and Maximillian will do whatevers necessary to put her under his spell  A comic tale of horror and seduction  Comedy Horror Romance en
94,9283.0,Beautiful Girls,During a snowy winter in the small fictional town of Knights Ridge Massachusetts a group of lifelong buddies hang out drink and struggle to connect with the women who affect their decisions dreams and desires  Good times never seemed so good Comedy Drama Romance en
95,9208.0,Broken Arrow,When rogue stealthfighter pilot Vic Deakins deliberately drops off the radar while on maneuvers the Air Force ends up with two stolen nuclear warheads  and Deakinss copilot Riley Hale is the militarys only hope for getting them back  Traversing the deserted canyons of Utah Hale teams with park ranger Terry Carmichael to put Deakins back in his box  Prepare to Go Ballistic  Action Adventure Thriller en
96,40154.0,A Midwinter's Tale,Out of work actor Joe volunteers to help try and save his sisters local church for the community by putting on a Christmas production of Hamlet somewhat against the advice of his agent Margaretta  As the cast he assembles are still available even at Christmas and are prepared to do it on a profit sharing basis that is they may not get paid anything he cannot expect  and does not get  the cream of the cream  But although they all bring their own problems and foibles along something bigger starts to emerge in the perhaps aptly named village of Hope  The drama  The passion  The intrigue    And the rehearsals havent even started  Comedy Drama en
97,406.0,La Haine,Aimlessly whiling away their days in the concrete environs of their deadend suburbia Vinz Hubert and Said  a Jew African and an Arab  give human faces to Frances immigrant populations their bristling resentment at their social marginalization slowly simmering until it reaches a climactic boiling point  La Haine means Hate  Three Young Friends    One Last Chance  Crime Drama fr
99,63076.0,Heidi Fleiss: Hollywood Madam,A documentary crew from the BBC arrives in L A  intent on interviewing Heidi Fleiss a year after her arrest for running a brothel but before her trial  Several months elapse before the interview so the crew searches for anyone wholl talk about the young woman  Two people have a lot to say to the camera a retired madam named Alex for whom Fleiss once worked and Fleisss onetime boyfriend Ivan Nagy who introduced her to Alex  Alex and Nagy dont like each other so the crew shuttles between them with she said and he said  When they finally interview Fleiss they spend their time reciting what Alex and Nagy have had to say and asking her reaction      Documentary en
100,11062.0,City Hall,The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor and unexpectedly farreaching consequences  It started with a shootout on a rainswept street and ended in a scandal that shattered New York  Drama Thriller en
101,13685.0,Bottle Rocket,Upon his release from a mental hospital following a nervous breakdown the directionless Anthony joins his friend Dignan who seems far less sane than the former  Dignan has hatched a hairbrained scheme for an asyetunspecified crime spree that somehow involves his former boss the supposedly legendary Mr  Henry  Theyre not really criminals but everyones got to have a dream  Adventure Comedy Crime Romance en
102,47475.0,Mr. Wrong,A single and lonely woman finds the seemingly perfect man to date but soon regrets it when his deranged and possessive other personality emerges and worst still she cannot convince anyone else of his JekyllHyde true nature   Comedy en
103,2045.0,Unforgettable,Ray Liotta stars as a medical examiner who has been acquitted for his wifes murder but many still question his innocence  Obsessed with finding his wifes killer a possible solution presents itself in an experimental serum designed by a neurobiology Linda Fiorentino which has the ability to transfer memories from one person to another but not without consequences  Liotta driven to solve the case injects himself with the serum bringing him closer and closer to finding her killer but bringing him closer to death  He loved her  He lost her  He wont let her memory die    until it tells him who killed her  Mystery SciFi Thriller en
104,9614.0,Happy Gilmore,Failed hockey playerturnedgolf whiz Happy Gilmore  whose unconventional approach and antics on the grass courts the ire of rival Shooter McGavin  is determined to win a PGA tournament so he can save his grannys house with the prize money  Meanwhile an attractive tour publicist tries to soften Happys image  He doesnt play golf    he destroys it  Comedy en
105,688.0,The Bridges of Madison County,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s  The path of Francesca Johnsons future seems destined due to an unexpected fork in the road    Drama Romance en
106,11907.0,Keiner liebt mich,No overview found   Comedy Drama de
107,10874.0,Muppet Treasure Island,After telling the story of Flints last journey to young Jim Hawkins Billy Bones has a heart attack and dies just as Jim and his friends are attacked by pirates  The gang escapes into the town where they hire out a boat and crew to find the hidden treasure which was revealed by Bones before he died  On their voyage across the seas they soon find out that not everyone on board can be trusted  Set sail for Muppet mayhem Adventure Children Comedy Musical en
108,89333.0,Catwalk,A documentary following Christy Turlington and other models during spring fashion week in Milan Paris and New York  The moment when fashion art and entertainment come together with stunning force and beauty  Documentary en
110,197.0,Braveheart,Enraged at the slaughter of Murron his new bride and childhood love Scottish warrior William Wallace slays a platoon of the local English lords soldiers  This leads the village to revolt and eventually the entire country to rise up against English rule  Every man dies  Not every man truly lives  Action Drama War en
111,103.0,Taxi Driver,A mentally unstable Vietnam War veteran works as a nighttime taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action attempting to save a preadolescent prostitute in the process  On every street in every city theres a nobody who dreams of being a somebody  Crime Drama Thriller en
112,33542.0,紅番區,Keong comes from Hong Kong to visit New York for his uncles wedding  His uncle runs a market in the Bronx and Keong offers to help out while Uncle is on his honeymoon  During his stay in the Bronx Keong befriends a neighbor kid and beats up some neighborhood thugs who cause problems at the market  One of those petty thugs in the local gang stumbles into a criminal situation way over his head  No Fear  No Stuntman  No Equal  Action Adventure Comedy Crime cn
113,43566.0,Before and After,Two parents deal with the effects when their son is accused of murdering his girlfriend  A murder  A suspect  A shadow of a doubt  Drama Mystery en
116,51352.0,Anne Frank Remembered,Using previously unreleased archival material in addition to contemporary interviews this academy awardwinning documentary tells the story of the Frank family and presents the first fullyrounded portrait of their brash and freespirited daughter Anne perhaps the worlds most famous victim of the Holocaust  Written by Dawn M  Barclift She is perhaps Hitlers best known victim but what was Anne Frank really like Documentary en
